1,13.96,44.5,1016.96,0.0
2,13.71,52.67,1016.62,0.0
3,15.04,43.58,1015.54,0.0
4,15.67,51.0,1013.83,0.0
5,15.71,49.0,1013.71,0.0
6,14.25,54.0,1015.38,0.0
7,14.5,43.96,1018.58,0.0
8,14.04,41.0,1021.54,0.0
9,12.75,29.5,1021.54,0.0
10,15.21,46.12,1020.54,0.0
11,14.38,47.46,1020.46,0.0
12,15.0,39.29,1021.62,0.0
13,17.54,44.08,1022.0,0.0
14,16.58,56.46,1021.88,0.0
15,18.17,52.67,1020.67,0.0
16,20.0,49.75,1019.12,0.0
17,18.67,58.21,1017.75,0.0
18,19.08,55.12,1016.5,0.0
19,17.17,50.83,1018.75,0.0
20,15.75,42.38,1018.17,0.0
21,15.42,32.58,1017.42,0.0
22,16.62,32.79,1015.88,0.0
23,17.96,32.62,1015.75,0.0
24,19.96,32.5,1013.17,0.0
25,20.17,37.67,1011.67,0.0
26,19.17,36.04,1012.38,0.0
27,16.42,48.12,1014.88,0.0
28,16.12,57.62,1015.0,0.0
29,16.71,48.42,1014.92,0.0
30,17.04,53.17,1015.54,0.0
31,16.62,51.0,1015.62,0.0
32,15.79,46.88,1015.67,0.0
33,16.58,37.96,1015.12,0.0
34,17.88,40.33,1014.29,0.0
35,19.33,36.54,1013.79,0.0
36,18.62,37.04,1014.0,0.0
37,18.96,33.42,1015.92,0.0
38,17.92,44.71,1017.33,0.0
39,17.0,36.67,1017.67,0.0
40,18.79,36.92,1015.42,0.0
41,18.67,37.08,1011.75,0.0
42,15.75,56.21,1014.83,0.0
43,15.67,59.08,1014.71,0.0
44,17.96,45.08,1011.42,0.0
45,19.04,48.17,1013.21,0.0
46,17.62,38.33,1014.83,0.0
47,16.75,35.92,1016.38,0.0
48,18.83,30.12,1015.75,0.0
49,19.04,31.21,1015.33,0.0
50,19.96,32.5,1013.17,0.0
51,21.25,33.67,1015.12,0.0
52,21.5,34.25,1014.79,0.0
53,21.08,28.83,1009.96,0.0
54,23.17,21.92,1008.46,0.0
55,23.17,24.54,1008.67,0.0
56,22.0,30.62,1010.29,0.0
57,22.71,30.38,1010.17,0.0
58,22.67,29.08,1012.42,0.0
59,21.29,29.38,1012.42,0.0
60,23.04,26.33,1010.79,0.0
61,24.29,25.33,1010.88,0.0
62,25.67,23.54,1009.12,0.0
63,25.42,22.08,1008.58,0.0
64,23.62,24.92,1010.17,0.0
